timestamp,open,high,low,close,volume
2018-02-07,5.1800,5.6150,5.1700,5.5100,35547588
2018-02-06,5.0600,5.2400,5.0150,5.1000,17007363
2018-02-05,5.3600,5.4200,5.1000,5.1300,20234532
2018-02-02,5.5000,5.5100,5.2100,5.3600,36147906
2018-02-01,5.2600,5.2800,4.9100,5.1000,42217676
2018-01-31,5.3100,5.3300,5.2200,5.3300,12095724
2018-01-30,5.2600,5.3000,5.2000,5.2900,9973287
2018-01-29,5.3300,5.3400,5.2500,5.2700,9361761
2018-01-26,5.3400,5.3800,5.2600,5.3700,10639793
2018-01-25,5.2600,5.3600,5.2400,5.3400,12372431
2018-01-24,5.3100,5.3500,5.2400,5.2600,11859033
2018-01-23,5.2500,5.3200,5.1000,5.3000,23148613
2018-01-22,5.4900,5.4900,5.2800,5.3200,19160283
2018-01-19,5.3400,5.5400,5.3000,5.4700,23068536
2018-01-18,5.4600,5.4900,5.2400,5.3400,26796399
2018-01-17,5.6000,5.6300,5.4300,5.4900,17847338
2018-01-16,5.7100,5.7400,5.6000,5.6000,14836755
2018-01-12,5.7300,5.7600,5.6500,5.6900,18401628
2018-01-11,5.6300,5.8000,5.6100,5.6900,16444949
2018-01-10,5.6700,5.7650,5.6100,5.6200,14104461
2018-01-09,5.8500,5.9400,5.6400,5.6900,25994885
2018-01-08,5.8000,5.9400,5.7900,5.8000,15327757
2018-01-05,5.7100,5.8200,5.6900,5.8000,15939879
2018-01-04,5.8700,5.8900,5.5000,5.6300,35121981
2018-01-03,5.9900,6.0100,5.8900,5.9000,12795577
2018-01-02,5.9100,6.0100,5.8400,5.9300,12789063
2017-12-29,5.9600,6.0100,5.8900,5.8900,10261209
2017-12-28,5.8800,5.9500,5.8700,5.9100,10615040
2017-12-27,5.8500,5.9800,5.8200,5.8400,11232112
2017-12-26,5.6200,5.8500,5.6200,5.7900,11702247
2017-12-22,5.6300,5.7250,5.6100,5.6400,12812197
2017-12-21,5.5800,5.7000,5.5700,5.6200,12419116
2017-12-20,5.6300,5.6600,5.5800,5.5800,14453013
