timestamp,open,high,low,close,volume
2018-02-07,5.2600,5.6150,4.9100,5.5100,151155065
2018-01-31,5.9100,6.0100,5.1000,5.3300,358080133
2017-12-29,6.0000,6.0500,5.4200,5.8900,333803183
2017-11-30,6.5800,6.7500,5.6200,5.9900,352803770
2017-10-31,7.7800,8.0000,6.0500,6.5400,384140708
2017-09-29,8.3000,8.5500,7.5000,7.7800,296491682
2017-08-31,8.3500,8.9200,7.9700,8.2500,225659194
2017-07-31,8.2000,8.9000,7.8700,7.9800,234069915
2017-06-30,8.5500,9.0200,7.7500,8.2100,353772691
2017-05-31,9.0500,9.2200,7.3200,8.4900,389656616
2017-04-28,8.6800,9.0900,8.2100,9.0300,191865756
2017-03-31,8.8500,9.0000,8.1300,8.6800,285056453
2017-02-28,9.2900,9.4400,8.1300,8.8100,328261067
2017-01-31,8.5100,9.6500,8.3200,9.2300,394814511
2016-12-30,7.8500,8.9800,7.8400,8.4200,387031824
2016-11-30,6.1500,8.1100,5.8300,7.8400,431962412
2016-10-31,6.6100,7.1600,6.1600,6.1600,416251865
2016-09-30,6.1800,7.0300,6.1600,6.6300,455763122
2016-08-31,6.1400,6.3500,5.8500,6.1800,349912087
2016-07-29,4.5200,6.3500,4.3600,6.1400,580560604
2016-06-30,3.7700,4.5600,3.6100,4.5300,346078883
2016-05-31,3.4600,3.8500,3.3670,3.8000,289632586
2016-04-29,3.4100,3.9000,3.3000,3.4300,376149249
2016-03-31,3.4300,4.1850,3.1200,3.4800,404825620
2016-02-29,3.0400,3.4600,2.4500,3.4400,382390152
2016-01-29,3.5200,3.6700,2.1800,3.0200,510046789
2015-12-31,3.6600,3.9500,3.5000,3.6200,324537341
2015-11-30,4.8300,4.9000,3.6200,3.6500,423557051
2015-10-30,3.9100,5.1200,3.8600,4.7300,413195249
2015-09-30,4.9700,5.2200,3.7100,3.8400,554656941
2015-08-31,3.3950,5.2900,3.1400,5.0600,887540840
2015-07-31,4.5600,4.6000,3.1000,3.3700,544112306
2015-06-30,4.6500,4.8100,4.4100,4.5600,276821622
2015-05-29,5.1500,5.2900,4.5400,4.6500,351715716
2015-04-30,4.7500,5.3900,4.6500,5.1300,223172866
2015-03-31,5.1400,5.4500,4.6500,4.7400,265546844
2015-02-27,4.3200,5.2800,4.2100,5.1200,394517047
2015-01-30,4.1800,4.5500,4.0100,4.3000,305637225
2014-12-31,5.0900,5.0900,3.7900,4.1500,494300236
2014-11-28,5.9150,6.2500,4.6400,5.1200,571572655
2014-10-31,6.3900,6.4500,5.7100,5.9300,477738912
2014-09-30,5.6500,7.1500,5.5000,6.3400,611175849
2014-08-29,7.3800,7.6000,5.3600,5.6100,643670682
2014-07-31,8.5500,8.6800,7.0700,7.3500,320219900
2014-06-30,9.5200,9.7500,8.1900,8.5300,278441800
2014-05-30,8.9700,9.7600,8.3900,9.5500,300004300
2014-04-30,9.2400,9.6000,7.3800,8.5000,358598700
2014-03-31,8.5300,9.4600,8.4000,9.1900,338896000
2014-02-28,8.1900,8.7700,7.4200,8.7400,400228700
2014-01-31,10.4700,10.6863,8.1600,8.2700,400506800
2013-12-31,8.3000,11.4700,7.8100,10.7500,472127000
2013-11-29,6.7300,8.7500,6.7300,8.3900,391683800
2013-10-31,6.2500,7.0000,5.9200,6.7300,390030300
2013-09-30,6.7800,6.8700,6.0200,6.2190,363970600
2013-08-30,6.0500,7.2600,6.0000,6.7100,434640100
2013-07-31,7.0000,7.2100,5.6100,5.9600,1678836500
2013-06-28,7.3000,7.4100,6.8300,7.0200,1667103400
2013-05-31,7.0700,7.5000,7.0500,7.3000,954927800
2013-04-30,6.2400,7.3500,6.1200,7.0500,1644335600
2013-03-28,5.8000,6.2200,5.7500,6.2100,655309700
2013-02-28,5.6400,5.9500,5.6300,5.8000,647546914
2013-01-31,5.7100,5.9700,5.5200,5.6300,992759000
2012-12-31,5.7500,5.8300,5.4000,5.6700,642544500
2012-11-30,5.5200,5.7600,5.4300,5.7300,651999800
2012-10-31,5.4500,6.0400,4.7900,5.5500,2505850880
2012-09-28,4.8500,5.7600,4.8000,5.5200,1157531000
2012-08-31,4.3900,5.4900,4.0000,4.8500,1397084200
2012-07-31,3.2600,4.6000,3.1500,4.3600,1493539200
2012-06-29,2.5300,3.3300,2.4400,3.2600,1166665000
2012-05-31,2.5000,2.6700,2.3200,2.5700,944473900
2012-04-30,2.8800,2.9000,2.3000,2.4800,1111057500
2012-03-30,2.4900,3.0300,2.3600,2.8500,1123370200
2012-02-29,2.1400,2.6000,2.1200,2.4700,1051639900
2012-01-31,2.3900,2.4100,2.1000,2.1200,734115800
2011-12-30,2.6800,2.8500,2.1500,2.3400,678174300
2011-11-30,2.5300,2.9400,2.3400,2.7000,810875716
2011-10-31,3.0500,3.3900,2.1000,2.5700,2062243042
2011-09-30,3.7900,3.8300,2.9500,3.0400,1088728800
2011-08-31,4.3100,4.3200,2.9800,3.7600,1960125500
2011-07-29,5.4150,5.7450,4.1400,4.2300,986372400
2011-06-30,5.7950,6.4500,4.9800,5.3900,1173548500
2011-05-31,5.2500,6.0500,5.0300,5.8500,1175300900
2011-04-29,4.7000,5.3500,4.5400,5.1800,988856600
2011-03-31,4.3700,5.2600,4.1700,4.6400,1845582800
2011-02-28,4.5100,4.6200,4.1200,4.3700,1129195000
2011-01-31,4.3000,4.6900,4.1800,4.5200,1112282100
2010-12-31,3.8400,4.4600,3.7600,4.2300,1023356900
2010-11-30,4.1800,4.2500,3.7000,3.7800,1042946100
2010-10-29,4.6300,4.8800,4.1200,4.1250,1031466700
2010-09-30,4.1500,4.6900,4.0800,4.6300,747737800
2010-08-31,4.6800,4.7300,3.8200,4.0600,991300800
2010-07-30,4.2400,5.0800,4.0500,4.5700,1365516700
2010-06-30,5.0000,5.0800,4.1765,4.2400,1276670700
2010-05-28,4.2500,5.3100,3.8300,5.1300,1697327800
2010-04-30,3.8800,4.4700,3.8100,4.2475,1325991500
2010-03-31,3.3500,4.1400,3.2300,3.8000,1334123600
2010-02-26,3.3200,3.7000,3.1000,3.3300,1171338200
2010-01-29,3.7100,4.2300,3.2500,3.2800,1091227500
2009-12-31,3.7400,4.4100,3.6200,3.6600,1039024600
2009-11-30,3.0200,3.9800,2.7800,3.7100,1314922600
2009-10-30,3.9200,4.0500,2.8900,2.9600,1304796900
2009-09-30,3.6900,4.6453,3.4700,3.9500,1272648600
2009-08-31,4.0400,4.1100,3.5000,3.6600,956026841
2009-07-31,4.7700,4.9104,3.8100,4.0000,888386600
