timestamp,open,high,low,close,volume
2018-02-07,5.3600,5.6150,5.0150,5.4361,60957138
2018-02-02,5.3300,5.5100,4.9100,5.3600,109796354
2018-01-26,5.4900,5.4900,5.1000,5.3700,77180153
2018-01-19,5.7100,5.7400,5.2400,5.4700,82549028
2018-01-12,5.8000,5.9400,5.6100,5.6900,90273680
2018-01-05,5.9100,6.0100,5.5000,5.8000,76646500
2017-12-29,5.6200,6.0100,5.6200,5.8900,43810608
2017-12-22,5.5200,5.7250,5.5107,5.6400,96188486
2017-12-15,5.4300,5.8100,5.4200,5.4900,101083927
2017-12-08,6.0500,6.0500,5.4200,5.4400,82988898
2017-12-01,6.1300,6.1900,5.9100,5.9700,59439143
2017-11-24,6.2300,6.2400,6.0200,6.1500,33417857
2017-11-17,6.1900,6.2700,5.9200,6.2300,68513472
2017-11-10,5.8700,6.3200,5.6200,6.1900,154805500
2017-11-03,7.0200,7.0500,6.0500,6.6700,127723954
2017-10-27,6.9200,7.2100,6.8400,6.9900,71307962
2017-10-20,7.1500,7.2200,6.9000,6.9300,55637100
2017-10-13,7.3800,7.4300,6.7700,7.1200,88677191
2017-10-06,7.7800,8.0000,7.3300,7.3600,87153563
2017-09-29,8.3000,8.3000,7.6500,7.7800,88985907
2017-09-22,7.7000,8.5500,7.5600,8.5200,105519667
2017-09-15,7.8000,8.0500,7.5000,7.6900,54274289
2017-09-08,8.2500,8.2800,7.6600,7.7400,41780301
2017-09-01,8.4500,8.4500,8.1500,8.2700,27263051
2017-08-25,8.1000,8.5400,8.0100,8.4300,34347753
2017-08-18,8.4300,8.4700,8.0600,8.0700,33699120
2017-08-11,8.7800,8.8700,7.9700,8.3100,55871520
2017-08-04,8.1800,8.9200,7.8700,8.7000,103174899
2017-07-28,8.5300,8.7700,8.0700,8.2200,56839823
2017-07-21,8.5900,8.5900,8.2400,8.5300,46477977
2017-07-14,8.1300,8.9000,8.1100,8.5500,76540625
2017-07-07,8.2000,8.3200,8.0200,8.1300,31445859
2017-06-30,8.0700,8.5000,7.9500,8.2100,87563001
2017-06-23,7.8100,8.3500,7.7500,8.0500,89632444
2017-06-16,8.0800,8.3200,7.7500,7.8000,72215212
2017-06-09,8.8500,8.9800,8.0300,8.1200,73388120
2017-06-02,8.4000,9.0200,8.3600,8.8700,51302566
2017-05-26,8.0600,8.4700,7.9600,8.4000,70921571
2017-05-19,7.9500,8.2000,7.3200,8.0700,122464812
2017-05-12,8.1200,8.1600,7.6700,7.9500,97870907
2017-05-05,9.0500,9.2200,7.6700,8.0400,78070674
2017-04-28,8.6500,9.0900,8.6100,9.0300,68514225
2017-04-21,8.2800,8.6200,8.2600,8.5000,39844045
2017-04-13,8.6100,8.6300,8.2100,8.2800,34544833
2017-04-07,8.6800,8.7500,8.3000,8.3700,48962653
2017-03-31,8.4400,8.7200,8.2100,8.6800,58065372
